"id","xmlid","author-name","title","author-birth","author-death","author-gender","author-ids","reference-year","first-edition","provenance","size-category","time-slot"
"ENG18540_Dickens","ENG18540","Dickens, Charles","Hard Times: For These Times",1812,1870,"M","https://viaf.org/viaf/88666393/",1854,1854,"NA","long","T1"
"ENG18551_Trollope","ENG18551","Trollope, Anthony","The Warden",1815,1882,"M","https://viaf.org/viaf/61683295/",1855,1855,"Chadwyck-Healey Ltd (A Bell & Howell Information and Learning     company)","medium","T1"
"ENG18552_Kavanagh","ENG18552","Kavanagh, Julia","Rachel Gray",1824,1877,"F","https://viaf.org/viaf/89854315/",1856,1856,"NA","short","T1"
"ENG18560_Yonge","ENG18560","Yonge, Charlotte Mary","The Daisy Chain",1823,1901,"F","https://viaf.org/viaf/71399881/",1856,1856,"Chadwyck-Healey Ltd (A Bell & Howell Information and      Learning company)","long","T1"
"ENG18570_Bronte","ENG18570","Brontë, Charlotte","The Professor: A Tale",1816,1855,"F","https://viaf.org/viaf/71388025/",1857,1857,"NA","medium","T1"
"ENG18600_Clive","ENG18600","Clive, Caroline Wigley","Why Paul Ferroll Killed His Wife",1801,1873,"F","https://viaf.org/viaf/3337325/",1860,1860,"Digital Library Program, Indiana       University","medium","T2"
"ENG18610_Eliot","ENG18610","Eliot, George [pseud.]","Silas Marner: The Weaver of Raveloe",1819,1880,"F","https://viaf.org/viaf/89000553/",1861,1861,"Chadwyck-Healey Ltd (A Bell & Howell Information and            Learning company)","medium","T2"
"ENG18621_Braddon","ENG18621","Braddon, Mary Elizabeth","Lady Audley's Secret",1835,1915,"F","https://viaf.org/viaf/66826682/",1862,1862,"NA","long","T2"
"ENG18630_Craik","ENG18630","Craik, Dinah Maria","Mistress and Maid",1826,1887,"F","https://viaf.org/viaf/46793285/",1862,1862,"NA","long","T2"
"ENG18632_Reade","ENG18632","Reade, Charles","Hard Cash. A matter of fact romance",1814,1884,"M","https://viaf.org/viaf/44314913/",1863,1863,"NA","long","T2"
"ENG18641_Stretton","ENG18641",,"Fern's Hollow",1832,1911,"F","https://viaf.org/viaf/29892399/",1864,1864,"NA","short","T2"
"ENG18640_Blackmore","ENG18640","Blackmore, Richard Doddridge","Clara Vaughan",1825,1900,"M","https://viaf.org/viaf/59105182/",1864,1864,"NA","long","T2"
"ENG18652_Carroll","ENG18652","Carroll, Lewis [pseud.]","Alice's Adventures in Wonderland",1832,1898,"M","https://viaf.org/viaf/66462036/",1865,1865,"NA","short","T2"
"ENG18651_Yonge","ENG18651","Yonge, Charlotte Mary","The Clever Woman of the Family",1823,1901,"F","https://viaf.org/viaf/71399881/",1865,1865,"NA","long","T2"
"ENG18650_Trollope","ENG18650","Trollope, Anthony","Can You Forgive Her?",1815,1882,"M","https://viaf.org/viaf/61683295/",1865,1865,"NA","long","T2"
"ENG18660_Eliot","ENG18660","Eliot, George [pseud.]","Felix Holt, the Radical",1819,1880,"F","https://viaf.org/viaf/89000553/",1866,1866,"Chadwyck-Healey Ltd (A Bell & Howell      Information and Learning company)","long","T2"
"ENG18661_Oliphant","ENG18661","Oliphant, Margaret","Miss Marjoribanks",1828,1897,"F","https://viaf.org/viaf/49256072/",1866,1866,"NA","long","T2"
"ENG18670_Ouida","ENG18670","Ouida, [pseud.]","Under Two Flags: A Story of the Household and the Desert",1839,1908,"F","https://viaf.org/viaf/34490941/",1867,1867,"Chadwyck-Healey Ltd (A Bell & Howell Information and Learning company)","long","T2"
"ENG18700_Oliphant","ENG18700","Oliphant, Laurence","Piccadilly",1829,1888,"M","https://viaf.org/viaf/17265739/",1870,1870,"NA","medium","T2"
"ENG18702_Jenkins","ENG18702","Jenkins, John Edward","Ginx's Baby: His Birth and Other Misfortunes",1838,1910,"M","https://viaf.org/viaf/24837293/",1871,1871,"NA","short","T2"
"ENG18721_Eliot","ENG18721","Eliot, George [pseud.]","Middlemarch",1819,1880,"F","https://viaf.org/viaf/89000553/",1872,1872,"NA","long","T2"
"ENG18720_Lynn","ENG18720","Linton, Elizabeth Lynn","The True History of Joshua Davidson",1822,1898,"F","https://viaf.org/viaf/7521381/",1872,1872,"Digital Library      Program, Indiana University","short","T2"
"ENG18742_Trollope","ENG18742","Trollope, Anthony","Harry Heathcote of Gangoil",1815,1882,"M","https://viaf.org/viaf/61683295/",1874,1874,"NA","short","T2"
"ENG18740_Ouida","ENG18740","Ouida, [pseud.]","Two Little Wooden Shoes: A Sketch",1839,1908,"F","https://viaf.org/viaf/34490941/",1874,1874,"NA","medium","T2"
"ENG18741_Bulwer","ENG18741","Lytton, Edward Bulwer","The Parisians",1803,1873,"M","https://viaf.org/viaf/99871326/",1874,1874,"NA","long","T2"
"ENG18760_Collins","ENG18760","Collins, Wilkie","The Two Destinies: A Romance",1824,1889,"M","https://viaf.org/viaf/95173526/",1876,1876,"NA","medium","T2"
"ENG18770_Mallock","ENG18770","Mallock, William Hurrell","The New Republic",1849,1923,"M","https://viaf.org/viaf/7455306/",1877,1877,"NA","medium","T2"
"ENG18800_Disraeli","ENG18800","Disraeli, Benjamin","Endymion",1804,1881,"M","https://viaf.org/viaf/49233448/",1880,1880,"NA","long","T3"
"ENG18820_Anstey","ENG18820","Anstey, F. [pseud.]","Vice Versa: or, A Lesson to Fathers",1856,1934,"M","https://viaf.org/viaf/69063398/",1882,1882,"NA","medium","T3"
"ENG18830_Broughton","ENG18830","Broughton, Rhoda","Belinda: A Novel",1840,1920,"F","https://viaf.org/viaf/45106836/",1883,1883,"Chadwyck-Healey Ltd (A Bell & Howell Information and      Learning company)","long","T3"
"ENG18831_Ouida","ENG18831","Ouida, [pseud.]","Folle-Farine",1839,1908,"F","https://viaf.org/viaf/34490941/",1883,1883,"Digital Library Program, Indiana      University","long","T3"
"ENG18840_Lee","ENG18840","Lee, Vernon","Miss Brown",1856,1935,"F","https://viaf.org/viaf/68945580/",1884,1884,"Digital Library Program, Indiana      University","long","T3"
"ENG18850_Rutherford","ENG18850","White, William Hale","Mark Rutherford's Deliverance",1831,1913,"M","https://viaf.org/viaf/79398669/",1885,1885,"NA","short","T3"
"ENG18860_Hardy","ENG18860","Hardy, Thomas","The Mayor of Casterbridge: The Life and Death of a Man of Character",1840,1928,"M","https://viaf.org/viaf/54148778/",1886,1886,"NA","long","T3"
"ENG18870_Barry","ENG18870","Barry, William Francis","The New Antigone: A Romance",1849,1930,"M","https://viaf.org/viaf/38159288/",1887,1887,"Chadwyck-Healey Ltd (A Bell & Howell      Information and Learning company)","long","T3"
"ENG18872_Lyall","ENG18872","Lyall, Edna [pseud.]","The Autobiography of a Slander",1857,1903,"F","https://viaf.org/viaf/5734093/",1887,1887,"NA","short","T3"
"ENG18871_Broughton","ENG18871","Broughton, Rhoda","Red as a rose is she",1840,1920,"F","https://viaf.org/viaf/45106836/",1887,1887,"Digital Library Program, Indiana      University","long","T3"
"ENG18880_Ward","ENG18880","Ward, Humphry, Mrs.","Robert Elsmere",1851,1920,"F","https://viaf.org/viaf/27084321/",1888,1888,"NA","long","T3"
"ENG18890_Nesbit","ENG18890","Nesbit, Edith","The Prophet's Mantle",1858,1924,"F","https://viaf.org/viaf/7394811/",1889,1889,"NA","medium","T3"
"ENG18900_Doyle","ENG18900","Doyle, Arthur Conan","The Sign of Four",1859,1930,"M","https://viaf.org/viaf/65283845/",1890,1890,"Chadwyck-Healey Ltd (A Bell & Howell Information and      Learning company)","short","T3"
"ENG18901_Broughton","ENG18901","Broughton, Rhoda","Alas! A Novel",1840,1920,"F","https://viaf.org/viaf/45106836/",1890,1890,"NA","long","T3"
"ENG18910_Yeats","ENG18910","Yeats, William Butler","John Sherman and Dhoya",1865,1939,"M","https://viaf.org/viaf/46768718/",1891,1891,"NA","short","T3"
"ENG18911_Gissing","ENG18911","Gissing, George","New Grub Street: A Novel",1857,1903,"M","https://viaf.org/viaf/59083174/",1891,1891,"Chadwyck-Healey Ltd (A Bell & Howell      Information and Learning company)","long","T3"
"ENG18920_Grossmith","ENG18920","Grossmith, George","The diary of a nobody",1847,1912,"M","https://viaf.org/viaf/64144601/",1892,1892,"NA","short","T3"
"ENG18931_Harraden","ENG18931","Harraden, Beatrice","Ships that Pass in the Night",1864,1936,"F","https://viaf.org/viaf/10209589/",1893,1893,"NA","short","T3"
"ENG18930_Benson","ENG18930","Benson, Edward Frederic","Dodo: A Detail of the Day",1867,1940,"M","https://viaf.org/viaf/49221488/",1893,1893,"NA","medium","T3"
"ENG18940_Dixon","ENG18940","Dixon, Ella Hepworth","The Story of a Modern Woman",1857,1932,"F","https://viaf.org/viaf/14904505/",1894,1894,"Digital Library      Program, Indiana University","medium","T3"
"ENG18941_Caird","ENG18941","Caird, Mona","The Daughters of Danaus",1854,1932,"F","https://viaf.org/viaf/24650758/",1894,1894,"Digital Library Program, Indiana      University","long","T3"
"ENG18951_Ward","ENG18951","Ward, Humphry, Mrs.","The Story of Bessie Costrell",1851,1920,"F","https://viaf.org/viaf/27084321/",1895,1895,"Digital Library Program,      Indiana University","short","T3"
"ENG18952_Wells","ENG18952","Wells, Herbert George","The Time Machine: An Invention",1866,1946,"M","https://viaf.org/viaf/97006424/",1895,1895,"Chadwyck-Healey Ltd (A Bell & Howell Information and Learning      company)","short","T3"
"ENG18950_Cross","ENG18950","Cross, Victoria","The Woman Who Didn't",1868,1952,"F","https://viaf.org/viaf/67411362/",1895,1895,"Digital Library Program, Indiana      University","short","T3"
"ENG18954_Sharp","ENG18954","Sharp, Evelyn","At the Relton Arms",1869,1955,"F","https://viaf.org/viaf/42106129/",1895,1895,"NA","short","T3"
"ENG18953_Macdonald","ENG18953","MacDonald, George","Lilith; A Romance",1824,1905,"M","https://viaf.org/viaf/64008667/",1895,1895,"Grand Rapids,       MI: Christian Classics Ethereal Library","medium","T3"
"ENG18960_Malet","ENG18960","Malet, Lucas","The Carissima",1852,1931,"F","https://viaf.org/viaf/9890134/",1896,1896,"Digital Library Program, Indiana      University","medium","T3"
"ENG18961_Griffiths","ENG18961","Griffiths, Major Arthur George Frederick","The Rome Express",1838,1908,"M","https://viaf.org/viaf/74223175/",1896,1896,"NA","short","T3"
"ENG18970_Phillpots","ENG18970","Phillpotts, Eden","Lying Prophets",1862,1960,"M","https://viaf.org/viaf/56811483/",1897,1897,"NA","long","T4"
"ENG18973_Cholmondeley","ENG18973","Cholmondeley, Mary","A Devotee: An Episode in the Life of a Butterfly",1859,1925,"F","https://viaf.org/viaf/40510526/",1897,1897,"NA","short","T3"
"ENG18972_Morris","ENG18972","Morris, William","The water of the wondrous isles",1834,1896,"M","https://viaf.org/viaf/22146194/",1897,1897,"NA","long","T3"
"ENG18980_BaringGould","ENG18980","Baring-Gould, Sabine","Domitia",1834,1924,"F","https://viaf.org/viaf/66640079/",1898,1898,"NA","medium","T3"
"ENG19001_Glyn","ENG19001","Glyn, Elinor","The Visits of Elizabeth",1864,1943,"F","https://viaf.org/viaf/59204544/",1900,1900,"NA","medium","T4"
"ENG19004_Fowler","ENG19004","Fowler, Ellen Thorneycroft","The Farringdons",1860,1929,"F","https://viaf.org/viaf/72533655/",1900,1900,"NA","long","T4"
"ENG19005_Steel","ENG19005","Steel, Flora Annie","The Hosts of the Lord",1847,1929,"F","https://viaf.org/viaf/211452326/",1900,1900,"NA","long","T4"
"ENG19011_Jerome","ENG19011","Jerome, Jerome K.","The Observations of Henry",1859,1927,"M","https://viaf.org/viaf/12310310/",1901,1901,"NA","short","T4"
"ENG19010_Mason","ENG19010","Mason, Alfred Edward Woodley","Clementina",1865,1948,"M","https://viaf.org/viaf/89734277/",1901,1901,"NA","medium","T4"
"ENG19020_Nesbit","ENG19020","Nesbit, Edith","The Red House",1858,1924,"F","https://viaf.org/viaf/7394811/",1902,1902,"Digital Library Program, Indiana      University","medium","T4"
"ENG19060_Nesbit","ENG19060","Nesbit, Edith","The Story of the Amulet",1858,1924,"F","https://viaf.org/viaf/7394811/",1906,1906,"Digital Library Program, Indiana      University","medium","T4"
"ENG19070_Machen","ENG19070","Machen, Arthur","The Hill of Dreams",1863,1947,"M","https://viaf.org/viaf/2473758/",1907,1907,"NA","medium","T4"
"ENG19071_Silberrad","ENG19071","Silberrad, Una Lucy","The good comrade",1872,1955,"F","https://viaf.org/viaf/4814869/",1907,1907,"NA","long","T4"
"ENG19080_Chesterton","ENG19080","Chesterton, Gilbert Keith","The man who was Thursday",1874,1936,"M","https://viaf.org/viaf/14767719/",1908,1908,"Christian Classics Ethereal Library","medium","T4"
"ENG19090_Wells","ENG19090","Wells, Herbert George","Tono-bungay",1866,1946,"M","https://viaf.org/viaf/97006424/",1909,1909,"NA","long","T4"
"ENG19091_Ward","ENG19091","Ward, Humphry, Mrs.","Daphne, or Marriage a la Mode",1851,1920,"F","https://viaf.org/viaf/27084321/",1909,1909,"Digital Library      Program, Indiana University","medium","T4"
"ENG19100_Forster","ENG19100","Forster, Edward Morgan","Howards End",1879,1970,"M","https://viaf.org/viaf/31996364/",1910,1910,"NA","long","T4"
"ENG19111_Hornung","ENG19111","Hornung, Ernest William","The Camera Fiend",1866,1921,"M","https://viaf.org/viaf/71409962/",1911,1911,"NA","medium","T4"
"ENG19121_Belloc","ENG19121","Belloc-Lowndes, Marie","The Chink in the Armour",1868,1947,"F","https://viaf.org/viaf/24729680/",1912,1912,"NA","medium","T4"
"ENG19120_Wells","ENG19120","Wells, Herbert George","Marriage",1866,1946,"M","https://viaf.org/viaf/97006424/",1912,1912,"NA","long","T4"
"ENG19150_Buchan","ENG19150","Buchan, John","The Thirty-nine Steps",1875,1940,"M","https://viaf.org/viaf/66464527/",1915,1915,"NA","short","T4"
"ENG19170_Conrad","ENG19170","Conrad, Joseph","The shadow-line: ELTec edition",1857,1924,"M","https://viaf.org/viaf/73862853/",1917,1917,"NA","short","T4"
"ENG19180_Lewis","ENG19180","Lewis, Percy Wyndham","Tarr",1882,1957,"M","https://viaf.org/viaf/41843119/",1918,1918,"NA","medium","T4"
"ENG19181_West","ENG19181","West, Rebecca [pseud. Cicily Isabel Fairfield]","The Return of the Soldier",1892,1983,"F","http://viaf.org/viaf/108321467",1918,1918,"NA","short","T4"
"ENG19192_Woolf","ENG19192","Woolf, Virginia","Night and day",1882,1941,"F","https://viaf.org/viaf/39385478/",1919,1919,"NA","long","T4"
"ENG19191_Hamilton","ENG19191","Hamilton, Cicely","William — an Englishman",1872,1952,"F","https://viaf.org/viaf/54947993/",1919,1919,"NA","medium","T4"
"ENG19201_Arlen","ENG19201","Arlen, Michael [pseud.]","The London venture",1895,1956,"M","https://viaf.org/viaf/19715803/",1919,1919,"NA","short","T4"
"ENG19190_Benson","ENG19190","Benson, Stella","Living Alone",1892,1933,"F","https://viaf.org/viaf/90724564/",1919,1919,"NA","short","T4"
"ENG19200_Lawrence","ENG19200","Lawrence, David Herbert","Women in love",1885,1930,"M","https://viaf.org/viaf/95150359/",1920,1920,"NA","long","T4"
"ENG18400_Trollope","ENG18400","Trollope, Frances Milton","The Life and Adventures of Michael Armstrong",1780,1863,"F","viaf:34551336",1840,"NA","NA","long","T1"
